Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 23:07:05;ARI.US;MN;12;2.22;222;14.84
26.04.2021 23:07:06;APO.US;MN;12;8.12;812;14.89
26.04.2021 23:07:06;AMEH.US;MN;12;3.15;315;11.32
26.04.2021 23:07:07;AFT.US;MN;12;0.51;51;3.33
26.04.2021 23:07:07;AIF.US;MN;12;0.45;45;2.94
26.04.2021 23:07:08;APPF.US;MN;12;32.58;3258;22.19
26.04.2021 23:07:09;APPN.US;MN;12;45.3;4530;33.2
26.04.2021 23:07:10;APLE.US;MN;12;2.63;263;17.04
26.04.2021 23:07:12;AAPL.US;MN;12;16.13;1613;11.97
26.04.2021 23:07:12;APDN.US;MN;12;2.71;271;39.33
26.04.2021 23:07:13;AGTC.US;MN;12;1.98;198;45.73
26.04.2021 23:07:13;AIT.US;MN;12;12.03;1203;12.51
26.04.2021 23:07:15;AMAT.US;MN;12;14.59;1459;10.63
26.04.2021 23:07:16;AAOI.US;MN;12;3.54;354;42.75
26.04.2021 23:07:16;APLT.US;MN;6;6.21;621;35.26
26.04.2021 23:07:17;APRE.US;MN;5;1.64;164;34.02
26.04.2021 23:07:17;ATR.US;MN;12;11.22;1122;7.43
26.04.2021 23:07:18;APTV.US;MN;12;18.81;1881;12.95
26.04.2021 23:07:18;ARMK.US;MN;12;6.85;685;17.19
26.04.2021 23:07:19;ABRpC.US;MN;12;1.39;139;5.29
26.04.2021 23:07:19;ABRpA.US;MN;12;1.06;106;4.06
26.04.2021 23:07:20;ABR.US;MN;12;2.37;237;13.64
26.04.2021 23:07:20;ARC.US;MN;12;0.46;46;20.35
26.04.2021 23:07:21;ARCB.US;MN;12;6.95;695;9.8
26.04.2021 23:07:21;MT.US;MN;12;3.37;337;10.72
26.04.2021 23:07:22;ACGL.US;MN;12;4.07;407;10.14
26.04.2021 23:07:23;ARCH.US;MN;12;9.16;916;18.84
26.04.2021 23:07:23;ADM.US;MN;12;5.0;500;8.34
26.04.2021 23:07:24;ARNC.US;MN;12;6.78;678;24.49
26.04.2021 23:07:25;ARCO.US;MN;12;0.79;79;14.74
26.04.2021 23:07:25;ACA.US;MN;12;6.18;618;9.63
26.04.2021 23:07:26;ARCT.US;MN;12;28.28;2828;73.3
26.04.2021 23:07:27;RCUS.US;MN;12;7.9;790;22.14
26.04.2021 23:07:27;ARQT.US;MN;5;4.69;469;15.36
26.04.2021 23:07:28;ARD.US;MN;12;2.62;262;9.51
26.04.2021 23:07:28;ARDX.US;MN;12;1.48;148;17.05
26.04.2021 23:07:29;ASC.US;MN;12;0.93;93;23.54
26.04.2021 23:07:30;ARNA.US;MN;12;13.68;1368;19.9
26.04.2021 23:07:31;ARCC.US;MN;12;1.95;195;10.01
26.04.2021 23:07:32;ACRE.US;MN;12;2.39;239;16.63
26.04.2021 23:07:32;ARDC.US;MN;12;0.54;54;3.54
26.04.2021 23:07:33;AGX.US;MN;12;6.49;649;12.94
26.04.2021 23:07:33;ARGX.US;MN;7;32.15;3215;10.97
26.04.2021 23:07:34;ANET.US;MN;12;40.62;4062;12.65
26.04.2021 23:07:35;ARKF.US;MN;12;5.3;530;9.77
26.04.2021 23:07:35;ARKK.US;MN;12;19.05;1905;14.92
26.04.2021 23:07:36;IZRL.US;MN;5;3.15;315;9.72
26.04.2021 23:07:36;ARKR.US;MN;12;4.82;482;25.25
26.04.2021 23:07:37;ARKW.US;MN;12;17.49;1749;11.16
26.04.2021 23:07:37;ARKG.US;MN;12;15.17;1517;16.43
26.04.2021 23:07:38;ARKQ.US;MN;12;8.29;829;9.64
26.04.2021 23:07:39;AAIC.US;MN;7;0.5;50;12.02
26.04.2021 23:07:39;ARLO.US;MN;12;2.11;211;31.87
26.04.2021 23:07:40;AHH.US;MN;12;2.05;205;15.15
26.04.2021 23:07:40;ARR.US;MN;12;1.09;109;8.96
26.04.2021 23:07:41;AWI.US;MN;12;12.14;1214;12.08
26.04.2021 23:07:42;AROC.US;MN;12;1.36;136;14.42
26.04.2021 23:07:42;ARRY.US;MN;4;9.98;998;33.8
26.04.2021 23:07:42;GYLD.US;MN;12;1.16;116;7.9
26.04.2021 23:07:43;ARW.US;MN;12;11.12;1112;9.39
26.04.2021 23:07:44;AROW.US;MN;12;4.34;434;12.68
26.04.2021 23:07:44;ARWR.US;MN;12;14.06;1406;18.87
26.04.2021 23:07:45;ARTW.US;MN;12;0.92;92;30.16
26.04.2021 23:07:45;ARTNA.US;MN;12;3.85;385;9.68
26.04.2021 23:07:46;AJG.US;MN;12;11.48;1148;8.46
26.04.2021 23:07:46;APAM.US;MN;12;6.65;665;11.77
26.04.2021 23:07:47;ARVN.US;MN;5;17.39;1739;26.31
26.04.2021 23:07:47;ASA.US;MN;12;3.0;300;13.47
26.04.2021 23:07:48;ASAN.US;MN;7;8.13;813;23.79
26.04.2021 23:07:48;ABG.US;MN;12;27.1;2710;13.03
26.04.2021 23:07:49;ASX.US;MN;12;0.84;84;9.87
26.04.2021 23:07:50;ASGN.US;MN;12;12.13;1213;11.45
26.04.2021 23:07:51;AHTpD.US;MN;12;4.53;453;18.91
26.04.2021 23:07:51;AHT.US;MN;12;2.1;210;111.11
26.04.2021 23:07:53;ASH.US;MN;12;9.94;994;10.54
26.04.2021 23:07:53;ASHX.US;MN;12;1.54;154;5.27
26.04.2021 23:07:53;ASML.US;MN;12;57.75;5775;8.61
26.04.2021 23:07:54;AHLpC.US;MN;12;1.6;160;5.86
26.04.2021 23:07:55;AZPN.US;MN;12;19.9;1990;12.98
26.04.2021 23:07:55;ASMB.US;MN;12;4.47;447;101.59
26.04.2021 23:07:56;ASB.US;MN;12;2.5;250;11.63
26.04.2021 23:07:56;AIZ.US;MN;12;15.38;1538;9.91
26.04.2021 23:07:57;AGO.US;MN;12;5.02;502;10.34
26.04.2021 23:07:58;ASTE.US;MN;12;8.05;805;10.19
26.04.2021 23:07:58;AZN.US;MN;12;6.32;632;12.07
26.04.2021 23:07:59;ATRO.US;MN;12;3.88;388;22.52
26.04.2021 23:08:00;ALOT.US;MN;12;2.25;225;12.55
26.04.2021 23:08:00;ASUR.US;MN;12;1.41;141;17.24
26.04.2021 23:08:01;HOME.US;MN;12;5.55;555;17.45
26.04.2021 23:08:02;T.US;MN;12;2.75;275;8.9
26.04.2021 23:08:03;ATRA.US;MN;12;5.69;569;39.27
26.04.2021 23:08:03;AVIR.US;MN;5;18.26;1826;50.08
26.04.2021 23:08:04;ATH.US;MN;12;7.98;798;13.56
26.04.2021 23:08:05;ATNX.US;MN;5;2.39;239;56.9
26.04.2021 23:08:05;ATHX.US;MN;12;0.88;88;49.16
