Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 20:23:53;AU.US;W;48;2.34;234;10.97
26.04.2021 20:23:55;BUD.US;W;48;3.7;370;5.26
26.04.2021 20:23:57;ANIP.US;W;48;3.14;314;9.34
26.04.2021 20:23:59;ANIK.US;W;48;3.68;368;8.84
26.04.2021 20:24:01;NLY.US;W;48;0.38;38;4.3
26.04.2021 20:24:03;ANPC.US;W;48;1.21;121;23.82
26.04.2021 20:24:04;ANSS.US;W;48;22.7;2270;6.07
26.04.2021 20:24:05;ATEX.US;W;24;4.39;439;9.39
26.04.2021 20:24:06;AM.US;W;48;0.8;80;8.66
26.04.2021 20:24:08;AR.US;W;48;0.88;88;9.14
26.04.2021 20:24:10;ANTM.US;W;48;19.69;1969;5.18
26.04.2021 20:24:12;AON.US;W;48;9.94;994;4.32
26.04.2021 20:24:15;APA.US;W;48;2.08;208;11.08
26.04.2021 20:24:16;AIRC.US;W;20;2.35;235;5.16
26.04.2021 20:24:17;AIV.US;W;48;2.17;217;32.15
26.04.2021 20:24:19;APLS.US;W;48;4.47;447;9.94
26.04.2021 20:24:19;APXT.US;W;20;1.65;165;14.89
26.04.2021 20:24:21;APHA.US;W;48;1.95;195;13.24
26.04.2021 20:24:23;APOG.US;W;48;2.71;271;7.5
26.04.2021 20:24:25;ARI.US;W;48;0.93;93;6.18
26.04.2021 20:24:27;APO.US;W;48;3.64;364;6.72
26.04.2021 20:24:29;AMEH.US;W;48;1.6;160;5.76
26.04.2021 20:24:31;AFT.US;W;48;0.26;26;1.7
26.04.2021 20:24:32;AIF.US;W;48;0.29;29;1.9
26.04.2021 20:24:34;APPF.US;W;48;15.54;1554;10.52
26.04.2021 20:24:37;APPN.US;W;48;21.82;2182;16.18
26.04.2021 20:24:39;APLE.US;W;48;1.05;105;6.75
26.04.2021 20:24:47;AAPL.US;W;48;7.86;786;5.84
26.04.2021 20:24:49;APDN.US;W;48;1.78;178;25.8
26.04.2021 20:24:50;AGTC.US;W;48;0.95;95;21.74
26.04.2021 20:24:52;AIT.US;W;48;4.91;491;5.08
26.04.2021 20:25:00;AMAT.US;W;48;7.09;709;5.14
26.04.2021 20:25:02;AAOI.US;W;48;1.46;146;17.49
26.04.2021 20:25:03;APLT.US;W;26;3.64;364;21.13
26.04.2021 20:25:03;APRE.US;W;18;0.95;95;19.83
26.04.2021 20:25:04;ATR.US;W;48;5.27;527;3.48
26.04.2021 20:25:07;APTV.US;W;48;8.78;878;6.05
26.04.2021 20:25:08;ARMK.US;W;48;2.78;278;7.0
26.04.2021 20:25:09;ABRpC.US;W;48;0.7;70;2.67
26.04.2021 20:25:10;ABRpA.US;W;48;0.58;58;2.22
26.04.2021 20:25:12;ABR.US;W;48;1.01;101;5.83
26.04.2021 20:25:14;ARC.US;W;48;0.25;25;11.11
26.04.2021 20:25:16;ARCB.US;W;48;3.73;373;5.26
26.04.2021 20:25:17;MT.US;W;48;1.42;142;4.55
26.04.2021 20:25:19;ACGL.US;W;48;2.29;229;5.69
26.04.2021 20:25:21;ARCH.US;W;48;5.28;528;10.6
26.04.2021 20:25:22;ADM.US;W;48;2.35;235;3.89
26.04.2021 20:25:24;ARNC.US;W;48;2.76;276;9.82
26.04.2021 20:25:26;ARCO.US;W;48;0.46;46;8.58
26.04.2021 20:25:28;ACA.US;W;48;4.07;407;6.3
26.04.2021 20:25:30;ARCT.US;W;48;15.04;1504;39.8
26.04.2021 20:25:32;RCUS.US;W;48;4.27;427;11.87
26.04.2021 20:25:32;ARQT.US;W;22;3.53;353;11.97
26.04.2021 20:25:34;ARD.US;W;48;1.39;139;5.03
26.04.2021 20:25:35;ARDX.US;W;48;0.79;79;9.08
26.04.2021 20:25:37;ASC.US;W;48;0.52;52;13.1
26.04.2021 20:25:38;ARNA.US;W;48;6.38;638;9.22
26.04.2021 20:25:40;ARCC.US;W;48;0.74;74;3.79
26.04.2021 20:25:42;ACRE.US;W;48;0.97;97;6.69
26.04.2021 20:25:44;ARDC.US;W;48;0.3;30;1.96
