Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 16:40:25;ALB.US;D;25;5.1;510;3.14
26.04.2021 16:40:28;ACI.US;D;25;0.57;57;3.1
26.04.2021 16:40:36;AA.US;D;25;1.72;172;4.91
26.04.2021 16:40:39;ALDX.US;D;25;0.74;74;7.02
26.04.2021 16:40:41;ENFR.US;D;25;0.22;22;1.24
26.04.2021 16:40:42;AMLP.US;D;25;0.68;68;2.11
26.04.2021 16:40:45;ALEX.US;D;25;0.47;47;2.61
26.04.2021 16:40:48;ALX.US;D;25;6.74;674;2.41
26.04.2021 16:40:51;ARE.US;D;25;2.68;268;1.49
26.04.2021 16:40:54;ALXN.US;D;25;1.5;150;0.9
26.04.2021 16:40:56;AQN.US;D;25;0.25;25;1.55
26.04.2021 16:40:58;BABA.US;D;25;5.24;524;2.27
26.04.2021 16:41:01;ALCO.US;D;25;0.69;69;2.34
26.04.2021 16:41:04;ALGN.US;D;25;15.44;1544;2.48
26.04.2021 16:41:07;ALIM.US;D;25;0.81;81;7.57
26.04.2021 16:41:10;ALKS.US;D;25;0.62;62;2.87
26.04.2021 16:41:20;ALLK.US;D;25;5.15;515;4.74
26.04.2021 16:41:22;AWF.US;D;25;0.05;5;0.42
26.04.2021 16:41:25;Y.US;D;25;10.73;1073;1.57
26.04.2021 16:41:31;ATI.US;D;25;0.97;97;4.12
26.04.2021 16:41:37;ALGT.US;D;25;9.01;901;3.69
26.04.2021 16:41:40;ALLE.US;D;25;2.45;245;1.75
26.04.2021 16:41:41;ALGM.US;D;25;1.21;121;4.51
26.04.2021 16:41:43;ALNA.US;D;25;0.09;9;7.76
26.04.2021 16:41:46;ALE.US;D;25;1.23;123;1.72
26.04.2021 16:41:48;ADS.US;D;25;4.63;463;4.28
26.04.2021 16:41:51;ARLP.US;D;25;0.21;21;3.32
26.04.2021 16:41:53;AFB.US;D;25;0.11;11;0.75
26.04.2021 16:41:58;AB.US;D;25;0.85;85;2.0
26.04.2021 16:42:00;LNT.US;D;25;0.87;87;1.55
26.04.2021 16:42:03;NCZ.US;D;25;0.06;6;1.17
26.04.2021 16:42:05;NCV.US;D;25;0.07;7;1.2
26.04.2021 16:42:08;ACV.US;D;25;0.51;51;1.5
26.04.2021 16:42:11;NFJ.US;D;25;0.11;11;0.75
26.04.2021 16:42:14;NIE.US;D;25;0.33;33;1.12
26.04.2021 16:42:15;AESE.US;D;25;0.34;34;12.73
26.04.2021 16:42:17;AMOT.US;D;25;2.33;233;4.3
26.04.2021 16:42:19;ALSN.US;D;25;1.07;107;2.43
26.04.2021 16:42:23;ALLO.US;D;25;1.75;175;5.05
26.04.2021 16:42:25;ALLT.US;D;25;0.74;74;4.1
26.04.2021 16:42:27;ALVR.US;D;25;1.66;166;7.34
26.04.2021 16:42:30;MDRX.US;D;25;0.31;31;1.9
26.04.2021 16:42:36;ALLpB.US;D;25;0.16;16;0.6
26.04.2021 16:42:38;ALL.US;D;25;1.56;156;1.25
26.04.2021 16:42:40;ALLY.US;D;25;1.36;136;2.75
26.04.2021 16:42:41;AAU.US;D;25;0.03;3;5.26
26.04.2021 16:42:43;ALNY.US;D;25;4.42;442;3.23
26.04.2021 16:42:45;AOSL.US;D;25;1.84;184;5.79
26.04.2021 16:42:47;GOOGL.US;D;25;36.51;3651;1.58
26.04.2021 16:42:49;GOOG.US;D;25;36.07;3607;1.55
26.04.2021 16:42:50;ACES.US;D;25;2.22;222;2.89
26.04.2021 16:42:51;EQL.US;D;25;0.51;51;0.52
26.04.2021 16:42:53;SBIO.US;D;25;1.42;142;2.9
26.04.2021 16:42:58;SDOG.US;D;25;0.51;51;0.96
26.04.2021 16:43:00;ALTR.US;D;25;2.16;216;3.21
26.04.2021 16:43:03;AYX.US;D;25;2.76;276;3.18
26.04.2021 16:43:05;ATUS.US;D;25;0.75;75;2.13
26.04.2021 16:43:08;ASPS.US;D;25;0.41;41;6.2
26.04.2021 16:43:11;AIMC.US;D;25;2.16;216;3.35
26.04.2021 16:43:14;MO.US;D;25;1.08;108;2.29
26.04.2021 16:43:17;ACH.US;D;25;0.24;24;1.84
26.04.2021 16:43:29;AMZN.US;D;25;59.28;5928;1.77
26.04.2021 16:43:35;AMBA.US;D;25;4.0;400;3.86
26.04.2021 16:43:38;AMBC.US;D;25;0.5;50;2.89
26.04.2021 16:43:40;ABEV.US;D;25;0.08;8;2.74
26.04.2021 16:43:43;AMC.US;D;25;0.94;94;8.83
26.04.2021 16:43:49;AMCX.US;D;25;3.0;300;5.73
26.04.2021 16:43:52;DOX.US;D;25;1.67;167;2.13
26.04.2021 16:43:56;AMED.US;D;25;6.64;664;2.32
26.04.2021 16:43:58;AXL.US;D;25;0.49;49;4.88
26.04.2021 16:44:01;AEO.US;D;25;1.27;127;3.35
26.04.2021 16:44:04;AEL.US;D;25;0.87;87;2.72
26.04.2021 16:44:07;AFG.US;D;25;2.03;203;1.63
26.04.2021 16:44:10;AMNB.US;D;25;0.98;98;2.91
26.04.2021 16:44:12;ARL.US;D;25;0.3;30;3.55
26.04.2021 16:44:13;AMRB.US;D;25;0.53;53;2.67
26.04.2021 16:44:16;AMSWA.US;D;25;0.58;58;2.93
26.04.2021 16:44:18;AWR.US;D;25;1.28;128;1.56
26.04.2021 16:44:22;AMSC.US;D;25;1.42;142;8.06
26.04.2021 16:44:24;AVD.US;D;25;0.62;62;3.1
26.04.2021 16:44:27;AMWD.US;D;25;3.26;326;3.2
26.04.2021 16:44:30;UHAL.US;D;25;15.26;1526;2.54
26.04.2021 16:44:35;AEE.US;D;25;1.32;132;1.56
26.04.2021 16:44:37;AMRC.US;D;25;2.46;246;4.8
26.04.2021 16:44:39;ATAX.US;D;25;0.14;14;2.46
26.04.2021 16:44:42;CRMT.US;D;25;5.98;598;4.0
26.04.2021 16:44:45;AMX.US;D;25;0.26;26;1.78
26.04.2021 16:44:58;AAL.US;D;25;0.95;95;4.38
26.04.2021 16:45:00;AAT.US;D;25;0.76;76;2.2
26.04.2021 16:45:04;ACC.US;D;25;0.92;92;2.0
26.04.2021 16:45:08;AEP.US;D;25;1.35;135;1.54
26.04.2021 16:45:10;AXP.US;D;25;2.7;270;1.85
26.04.2021 16:45:13;AMH.US;D;25;0.57;57;1.59
26.04.2021 16:45:15;AIG.US;D;25;0.99;99;2.07
26.04.2021 16:45:18;ANAT.US;D;25;2.44;244;2.14
26.04.2021 16:45:21;AOUT.US;D;25;1.32;132;4.96
26.04.2021 16:45:24;APEI.US;D;25;1.23;123;3.78
26.04.2021 16:45:29;AMS.US;D;25;0.17;17;7.17
26.04.2021 16:45:34;AMT.US;D;25;4.45;445;1.76
26.04.2021 16:45:37;AWK.US;D;25;2.61;261;1.64
26.04.2021 16:45:38;AMWL.US;D;25;1.07;107;5.65
26.04.2021 16:45:40;COLD.US;D;25;0.74;74;1.88
26.04.2021 16:45:43;AMP.US;D;25;5.07;507;2.03
26.04.2021 16:45:45;ABCB.US;D;25;1.9;190;3.65
26.04.2021 16:45:48;AMSF.US;D;25;1.28;128;1.99
26.04.2021 16:45:51;ABC.US;D;25;1.96;196;1.62
26.04.2021 16:45:52;ATLO.US;D;25;0.65;65;2.55
26.04.2021 16:45:55;AMST.US;D;25;0.28;28;9.33
26.04.2021 16:45:58;AME.US;D;25;2.22;222;1.64
26.04.2021 16:46:00;AMGN.US;D;25;4.09;409;1.61
26.04.2021 16:46:02;FOLD.US;D;25;0.43;43;4.25
26.04.2021 16:46:05;AMKR.US;D;25;1.1;110;4.47
26.04.2021 16:46:08;AMN.US;D;25;1.98;198;2.46
26.04.2021 16:46:10;SWAN.US;D;25;0.27;27;0.81
26.04.2021 16:46:14;IBUY.US;D;25;3.08;308;2.43
26.04.2021 16:46:17;AP.US;D;25;0.39;39;5.57
26.04.2021 16:46:20;AMPH.US;D;25;0.41;41;2.36
26.04.2021 16:46:23;APH.US;D;25;1.23;123;1.78
26.04.2021 16:46:26;AMPE.US;D;25;0.13;13;7.14
26.04.2021 16:46:27;YYY.US;D;25;0.09;9;0.52
26.04.2021 16:46:32;BLOK.US;D;25;2.44;244;4.7
26.04.2021 16:46:35;ASYS.US;D;25;0.73;73;6.82
